,Title:,Citation:,Section:,Document Date:,Congress-Session:,Reference Volume:,Permalink:,Speaker(s):
32,"END DISCRIMINATION AGAINST THE MILITARY-SUPPORT H.R. 572, H.R. 2277, AND H.R. 2300",135 Cong Rec E 2362,Extension of Remarks,28-Jun-89,101- 1,Vol.  135   No.  87   Pg.  E2362,https://congressional.proquest.com/congressional/docview/t17.d18.c45217b409000870?accountid=14537,Robert Kenneth Dornan
33,CAMPAIGN FINANCE REFORM,131 Cong Rec S 839,Senate,31-Jan-85,99- 1,Vol.  131   No.  9   Pg.  S839,https://congressional.proquest.com/congressional/docview/t17.d18.9eaa217e1c8e9c03?accountid=14537,William Proxmire; Thad Cochran
34,NATIONAL DEFENSE AUTHORIZATION ACT FOR 2013,158 Cong Rec S 7280,Senate,30-Nov-12,112- 2,Vol.  158   No.  152   Pg.  S7280,https://congressional.proquest.com/congressional/docview/t17.d18.cr30no2012_dat-78?accountid=14537,Bob Corker; Dianne Feinstein; Jefferson B. Sessions; Thomas A. Coburn; Carl Levin; John S. McCain; Bill Nelson; Jon Kyl; Tim P. Johnson; Robert Menendez; Lisa A. Murkowski; Benjamin L. Cardin; Jim Webb; Amy Jean Klobuchar; Harry M. Reid; Tom S. Udall; Richard J. Durbin; Jeanne Shaheen
35,UNITED STATES-MEXICO ECONOMIC PARTNERSHIP ACT,166 Cong Rec H 7323,House,21-Dec-20,116- 2,Vol.  166   No.  218   Pg.  H7323,https://congressional.proquest.com/congressional/docview/t17.d18.cr21de2020_pt2-11?accountid=14537,UNITED STATES-MEXICO ECONOMIC PARTNERSHIP ACT
36,RECOGNIZING ANNIE MILLER'S SON'S SWAMP & MARSH TOUR,162 Cong Rec S 3826,Senate,13-Jun-16,114- 2,Vol.  162   No.  93   Pg.  S3826,https://congressional.proquest.com/congressional/docview/t17.d18.cr13ju2016_dat-124?accountid=14537,David Vitter
37,"FURTHER SUPPLEMENTAL APPROPRIATIONS ACT, 2018",163 Cong Rec H 10364,House,21-Dec-17,115- 1,Vol.  163   No.  209   Pg.  H10364,https://congressional.proquest.com/congressional/docview/t17.d18.cr21de2017_dat-88?accountid=14537,John R. Carter; Bill Shuster; Barbara Lee; Kevin McCarthy; Mario Diaz-Balart; Mimi Walters; John Rutherford; Nita M. Lowey; José E. Serrano; John Abney Culberson; Mike Michael Thompson; Garret Graves; Lou Barletta; Christopher H. Smith; Ken S. Calvert; Stacey Plaskett; Joseph Crowley; Peter A. DeFazio; Rodney Davis; Rodney P. Frelinghuysen
38,DIANA E. MURPHY UNITED STATES COURTHOUSE,164 Cong Rec H 8184,House,13-Sep-18,115- 2,Vol.  164   No.  153   Pg.  H8184,https://congressional.proquest.com/congressional/docview/t17.d18.cr13se2018_dat-118?accountid=14537,Bill Shuster; Frank J. Pallone Jr.; Rob Woodall; Paul Mitchell; Jeff Denham; Fred Stephen Upton; Cathy McMorris Rodgers; Larry Bucshon; Sam B. Graves; Garret Graves; Debbie Dingell; Peter A. DeFazio; Greg P. Walden; Joseph P. Kennedy III; Grace F. Napolitano
39,TEXT OF AMENDMENTS,153 Cong Rec S 15653,Senate,14-Dec-07,110- 1,Vol.  153   No.  192   Pg.  S15653,https://congressional.proquest.com/congressional/docview/t17.d18.c1dfdd5561000bba?accountid=14537,TEXT OF AMENDMENTS
40,IN RECOGNITION OF THE SELWYN SCHOOL,166 Cong Rec E 53,Extension of Remarks,16-Jan-20,116- 2,Vol.  166   No.  10   Pg.  E53,https://congressional.proquest.com/congressional/docview/t17.d18.cr16ja2020_dat-44?accountid=14537,Michael C. Burgess
41,USSR TRIP REPORT,133 Cong Rec S 11633,Senate,7-Aug-87,100- 1,Vol.  133   No.  133   Pg.  S11633,https://congressional.proquest.com/congressional/docview/t17.d18.9e77bb96f6193003?accountid=14537,Henry John Heinz III
42,VIII-MISCELLANEOUS PROVISIONS,162 Cong Rec S 5594,Senate,13-Sep-16,114- 2,Vol.  162   No.  138   Pg.  S5594,https://congressional.proquest.com/congressional/docview/t17.d18.cr13se2016_dat-134?accountid=14537,Mike Rounds; James M. Inhofe; Shelley Moore Capito; John A. Barrasso; Dan Sullivan; James Lankford; Steve Daines; Cory Gardner; Richard J. Durbin; Tom Cotton; Chris Andrew Coons
43,TRIBUTE TO THE AUDUBON OHIO URBAN CONSERVATION CREW SUMMER CAMP AT THE ROCKEFELLER PARK GREENHOUSE IN CLEVELAND,153 Cong Rec E 2248,Extension of Remarks,25-Oct-07,110- 1,Vol.  153   No.  163   Pg.  E2248,https://congressional.proquest.com/congressional/docview/t17.d18.c1dfdd55600005db?accountid=14537,Stephanie Tubbs Jones
44,TEXT OF AMENDMENTS,162 Cong Rec S 2332,Senate,20-Apr-16,114- 2,Vol.  162   No.  61   Pg.  S2332,https://congressional.proquest.com/congressional/docview/t17.d18.cr20ap2016_dat-217?accountid=14537,TEXT OF AMENDMENTS
45,GEORGE P. KAZEN FEDERAL BUILDING AND UNITED STATES COURTHOUSE,162 Cong Rec H 7413,House,8-Dec-16,114- 2,Vol.  162   No.  177   Pg.  H7413,https://congressional.proquest.com/congressional/docview/t17.d18.cr08de2016_dat-140?accountid=14537,Marshall Sanford; Bill Shuster; Grace F. Napolitano; David G. Valadao; Jared Huffman; Jerry McNerney; Kevin McCarthy; Rosa L. DeLauro; Fred Stephen Upton; Blake Farenthold; Raúl M. Grijalva; Garret Graves; Paul Tonko; Ryan Zinke; Kevin Cramer; Gene Eugene Green; Rob Bishop; Bob Gibbs; Jim Costa; Frank J. Pallone Jr.; Barbara Lee; Doug LaMalfa; Larry Bucshon; Mike Michael Thompson; Michael F. Doyle Jr.; Tom McClintock; Peter A. DeFazio; Ken S. Calvert; Joe Courtney; Leonard Lance; Marcy Kaptur; Daniel T. Kildee
46,TEXT OF AMENDMENTS,153 Cong Rec S 14502,Senate,15-Nov-07,110- 1,Vol.  153   No.  177   Pg.  S14502,https://congressional.proquest.com/congressional/docview/t17.d18.c1dfdd5561000dd9?accountid=14537,TEXT OF AMENDMENTS
47,WATER RESOURCES DEVELOPMENT ACT OF 2016,162 Cong Rec S 5324,Senate,7-Sep-16,114- 2,Vol.  162   No.  134   Pg.  S5324,https://congressional.proquest.com/congressional/docview/t17.d18.cr07se2016_dat-184?accountid=14537,James M. Inhofe; Barbara Boxer; John Cornyn; Mitch McConnell
48,PUBLIC BILLS AND RESOLUTIONS,165 Cong Rec H 2046,House,22-Feb-19,116- 1,Vol.  165   No.  33   Pg.  H2046,https://congressional.proquest.com/congressional/docview/t17.d18.cr22fe2019_dat-33?accountid=14537,PUBLIC BILLS AND RESOLUTIONS
49,House of Representatives,155 Cong Rec H 2089,House,23-Feb-09,111- 1,Vol.  155   No.  31   Pg.  H2089,https://congressional.proquest.com/congressional/docview/t17.d18.c3cbc9b925000010?accountid=14537,House of Representatives
